mse:0.35251063108444214, mae:0.3615517020225525
mse:0.8803520798683167, mae:0.8990692496299744
mse:1.2051777957822196e-05, mae:0.0028846834320575
mse:0.033736564218997955, mae:0.1505403071641922
mse:1.6392040151913534e-06, mae:0.001170272589661181
mse:0.3942895233631134, mae:0.3963613510131836
mse:0.9088252186775208, mae:0.8892598748207092
mse:2.479482463968452e-05, mae:0.003700201865285635
mse:0.46058598160743713, mae:0.42720067501068115
mse:0.4970003068447113, mae:0.4395645558834076
mse:0.28635159134864807, mae:0.4115828573703766
mse:1.0441739559173584, mae:0.7826395034790039
mse:5.7362118241144344e-05, mae:0.006592690944671631
mse:0.3904590308666229, mae:0.4702184200286865
mse:0.4099805951118469, mae:0.5463998317718506
mse:0.0012867827899754047, mae:0.026443850249052048
mse:0.8058885931968689, mae:0.6278398633003235
mse:1.1234315633773804, mae:0.5715044140815735
mse:0.33089733123779297, mae:0.31403279304504395
mse:1.4158872545522172e-06, mae:0.0010921061038970947
mse:2.5373776225023903e-05, mae:0.004815320484340191
mse:0.38536182045936584, mae:0.3297007083892822
mse:2.9148903195164166e-05, mae:0.004249587655067444
mse:0.38359344005584717, mae:0.4007527530193329
mse:1.3553777933120728, mae:0.4420488774776459
mse:8.146231266437098e-06, mae:0.0021790217142552137
mse:0.2027602642774582, mae:0.3733657896518707
mse:1.5428277038154192e-05, mae:0.0035067894496023655
mse:0.4421796202659607, mae:0.41948190331459045
mse:0.6030479669570923, mae:0.5075244903564453
mse:4.5072952161717694e-06, mae:0.00171564519405365
mse:0.177561953663826, mae:0.25165900588035583
mse:0.6773250699043274, mae:0.5349710583686829
mse:0.5521271824836731, mae:0.43837597966194153
mse:0.5422430634498596, mae:0.5107298493385315
mse:0.424548864364624, mae:0.4124167859554291
mse:0.5246098041534424, mae:0.40568363666534424
mse:0.5218158960342407, mae:0.44049566984176636
mse:0.14130350947380066, mae:0.2438470870256424
mse:0.3851225674152374, mae:0.40164414048194885
mse:0.009801243431866169, mae:0.05807795375585556
mse:0.10658255964517593, mae:0.24583129584789276
mse:0.5925406813621521, mae:0.48945483565330505
mse:0.5513509511947632, mae:0.5512583255767822
mse:0.5629310607910156, mae:0.4474909007549286
mse:2.9312463993846904e-06, mae:0.0015378991374745965
mse:0.17062653601169586, mae:0.1628945767879486
mse:0.35869646072387695, mae:0.21900708973407745
mse:3.635261600720696e-05, mae:0.004455976188182831
mse:0.38434717059135437, mae:0.3956972360610962
mse:3.1907355785369873, mae:0.3613526523113251
mse:5.208125730860047e-05, mae:0.006451144348829985
mse:0.10295742750167847, mae:0.17860737442970276
mse:0.8071337342262268, mae:0.3908649682998657
mse:0.48706987500190735, mae:0.39661934971809387
mse:0.7378718256950378, mae:0.5216841697692871
mse:0.18341761827468872, mae:0.1706320196390152
mse:0.5410577058792114, mae:0.44539034366607666
mse:0.4362393319606781, mae:0.34979620575904846
mse:0.4697536826133728, mae:0.47015663981437683
mse:0.336001455783844, mae:0.3223854899406433
mse:0.532461404800415, mae:0.48579877614974976
mse:0.4255276322364807, mae:0.40973010659217834
mse:0.5282829999923706, mae:0.46062859892845154
mse:0.575378954410553, mae:0.32455429434776306
mse:0.7343353033065796, mae:0.5792839527130127
mse:0.7746559381484985, mae:0.2947269082069397
mse:0.9581602811813354, mae:0.6774910092353821
mse:0.6825407147407532, mae:0.5382964015007019
mse:0.9346553683280945, mae:0.6861755847930908
mse:0.7744594216346741, mae:0.296016126871109
mse:0.7823988795280457, mae:0.28635144233703613
mse:3.136366844177246, mae:1.2557326555252075
mse:0.7794427275657654, mae:0.2897486388683319
mse:0.7855718731880188, mae:0.2926730513572693
mse:0.9317576885223389, mae:0.6461591720581055
mse:0.776500403881073, mae:0.28610461950302124
mse:0.5861190557479858, mae:0.3928857743740082
mse:1.1562319993972778, mae:0.6505265235900879
